observed_data_series,filename,DIAG_NASH_SUTCLIFFE,DIAG_PCT_BIAS,DIAG_KLING_GUPTA,DIAG_KLING_GUPTA_DEVIATION,DIAG_R2,
HYDROGRAPH_ALL[26007665],./obs/02KA015_discharge.rvt,0.642268,-5.78314,0.682531,0.687843,0.645904,
HYDROGRAPH_ALL[26007674],./obs/02KC018_discharge.rvt,0.755757,4.73457,0.825131,0.831662,0.757096,
HYDROGRAPH_ALL[26007677],./obs/02KC015_discharge.rvt,0.785577,22.0531,0.698041,0.793735,0.880617,
HYDROGRAPH_ALL[26007681],./obs/02LB032_discharge.rvt,0.244136,-13.9855,0.34322,0.358284,0.256136,
HYDROGRAPH_ALL[26007684],./obs/02LB033_discharge.rvt,0.621696,0.0622609,0.723434,0.723434,0.622716,
HYDROGRAPH_ALL[26007692],./obs/02LB008_discharge.rvt,0.479315,-12.8029,0.517732,0.535036,0.485535,
HYDROGRAPH_ALL[26007699],./obs/02LB018_discharge.rvt,0.195674,1.18209,0.204706,0.204794,0.195817,
HYDROGRAPH_ALL[26007710],./obs/02MC028_discharge.rvt,0.533569,6.50482,0.587331,0.59249,0.536094,
HYDROGRAPH_ALL[26007712],./obs/02MC036_discharge.rvt,0.469474,-2.44708,0.5476,0.548262,0.469717,
HYDROGRAPH_ALL[26007729],./obs/02MC026_discharge.rvt,0.563513,-5.68721,0.594305,0.598312,0.569659,
HYDROGRAPH_ALL[26007737],./obs/02LB013_discharge.rvt,0.236802,-25.8996,0.242023,0.287645,0.287095,
HYDROGRAPH_ALL[26007743],./obs/02KF015_discharge.rvt,0.493113,-0.487015,0.729383,0.729427,0.539185,
HYDROGRAPH_ALL[26007758],./obs/02LB020_discharge.rvt,0.40684,-26.7763,0.397879,0.460693,0.429067,
HYDROGRAPH_ALL[26007759],./obs/02MC001_discharge.rvt,0.379308,-8.42917,0.441878,0.44828,0.381307,
HYDROGRAPH_ALL[26007762],./obs/02LB022_discharge.rvt,0.337269,-3.88498,0.425044,0.426358,0.338228,
HYDROGRAPH_ALL[26007776],./obs/02MC027_discharge.rvt,0.352591,-8.57137,0.438201,0.444778,0.354834,
HYDROGRAPH_ALL[26007779],./obs/02LB009_discharge.rvt,-3.99334,-60.3367,-0.5098,-0.383996,0.0774075,
HYDROGRAPH_ALL[26007782],./obs/02MC030_discharge.rvt,0.163972,2.15996,0.178228,0.178512,0.164888,
HYDROGRAPH_ALL[26007797],./obs/02LB031_discharge.rvt,0.400434,-26.4767,0.399818,0.461375,0.434353,
HYDROGRAPH_ALL[26007798],./obs/02LB017_discharge.rvt,0.562764,-7.84535,0.510178,0.516502,0.609673,
HYDROGRAPH_ALL[26007800],./obs/02KF010_discharge.rvt,0.568451,20.7081,0.70448,0.78917,0.669953,
HYDROGRAPH_ALL[26007824],./obs/02LB007_discharge.rvt,0.363685,-14.2106,0.386287,0.402966,0.373432,
HYDROGRAPH_ALL[26007827],./obs/02LA024_discharge.rvt,0.473156,22.4207,0.628706,0.704043,0.696631,
HYDROGRAPH_ALL[26007834],./obs/02MB010_discharge.rvt,0.177823,30.6321,0.467639,0.564597,0.328605,
HYDROGRAPH_ALL[26007838],./obs/02MB006_discharge.rvt,0.417046,-0.720922,0.401675,0.401718,0.443327,
HYDROGRAPH_ALL[26007749],./obs/02LB006_discharge.rvt,0.439795,-26.9465,0.38461,0.446744,0.480242,
HYDROGRAPH_ALL[26007763],./obs/02LA007_discharge.rvt,0.45062,-23.0522,0.423939,0.472074,0.481171,
HYDROGRAPH_ALL[26007735],./obs/02KF011_discharge.rvt,0.360047,-22.5561,0.445077,0.492988,0.377624,
HYDROGRAPH_ALL[26007815],./obs/02KF018_discharge.rvt,0.661419,25.7415,0.704212,0.854302,0.745148,
HYDROGRAPH_ALL[26007820],./obs/02KF017_discharge.rvt,0.556447,28.7825,0.651887,0.804196,0.658535,
WATER_LEVEL_ALL[26007702],./obs/02LA027_level.rvt,-88815.2,1203.06,-11.4619,-2.2501,0.0605144,
WATER_LEVEL_ALL[26007781],./obs/02LA026_level.rvt,-47452.1,1023.8,-9.24828,0.541382,0.378079,
RESERVOIR_STAGE_ALL[26007509],./obs/02MC037_level.rvt,-2.51959e+06,-99.9646,-0.46866,-0.0759515,3.21867e-05,
RESERVOIR_STAGE_ALL[26005681],./obs/02KF020_level.rvt,-30.8844,-94.2955,-0.234499,0.203242,0.637279,
RESERVOIR_STAGE_ALL[26006788],./obs/NorthDepot_level.rvt,-45.6647,-93.9511,-0.133704,0.365489,0.615085,
RESERVOIR_STAGE_ALL[26006800],./obs/LittleCauchon_level.rvt,-86.9218,-95.2157,-0.10727,0.434806,0.667219,
RESERVOIR_STAGE_ALL[26006817],./obs/Radiant_level.rvt,-2.16394,-83.5969,-0.120927,0.253252,0.775945,
RESERVOIR_STAGE_ALL[26006818],./obs/Cedar_level.rvt,-31.1193,-86.6547,0.0793564,0.689064,0.757695,
RESERVOIR_STAGE_ALL[26006836],./obs/Narrowbag_level.rvt,-6.33322,-89.9965,-0.191541,0.219083,0.673303,
RESERVOIR_STAGE_ALL[26006853],./obs/Hogan_level.rvt,-48.8187,-95.2583,-0.202826,0.265579,0.521976,
RESERVOIR_STAGE_ALL[26006855],./obs/Charles_level.rvt,-32.5197,-99.3972,-0.597196,-0.250222,0.0341513,
RESERVOIR_STAGE_ALL[26006881],./obs/LaMuir_level.rvt,-25.8155,-96.0536,-0.267783,0.172569,0.56333,
RESERVOIR_STAGE_ALL[26006887],./obs/Burntroot_level.rvt,-19.4593,-91.8323,-0.145817,0.314741,0.67111,
RESERVOIR_STAGE_ALL[26006899],./obs/Loontail_level.rvt,-60.0777,-98.4348,-0.372748,0.0431849,0.296384,
RESERVOIR_STAGE_ALL[26006971],./obs/Timberwolf_level.rvt,-51.7941,-97.7238,-0.381508,0.0234906,0.205323,
RESERVOIR_STAGE_ALL[26007000],./obs/Hambone_level.rvt,-42.502,-99.1878,-0.457491,-0.0679224,0.210508,
RESERVOIR_STAGE_ALL[26007005],./obs/Lilypond_level.rvt,-227.99,-98.1615,-0.45378,-0.0723381,0.0121175,
RESERVOIR_STAGE_ALL[26007147],./obs/Lavieille_level.rvt,-59.3131,-92.1084,-0.0294069,0.540344,0.767769,
RESERVOIR_STAGE_ALL[26007154],./obs/Grand_level.rvt,-36.4635,-91.3088,-0.0273008,0.529237,0.698789,
RESERVOIR_STAGE_ALL[26007219],./obs/Animoosh_level.rvt,-66.7692,-98.5242,-0.300601,0.150965,0.642545,
